candidate_id	candidate	references	source_file_count	likely_structural	sample_locations
alpha-channel	Alpha Channel	3	3	no	pages/Layer (compositing).md:11; pages/Layer mask.md:12; pages/Opacity (compositing).md:7
animation-workflow	Animation workflow	3	3	no	pages/Quill pen (animation inking).md:7; pages/Reboot (franchise___media).md:7; pages/Repetition (design principle).md:7
animators	Animators	3	3	no	pages/Dramatic Irony.md:5; pages/End Credits.md:5; pages/Overhang (set building).md:6
aperture-f-stop	Aperture (f-stop)	3	3	no	pages/Near focus limit (DOF).md:7; pages/Neutral density filter (ND).md:9; pages/Out of focus.md:7
archival-footage	Archival Footage	3	3	no	pages/Kinescope (TV recording).md:11; pages/Kodachrome.md:11; pages/Uncolorized (archival footage).md:18
asset-management	Asset Management	3	2	no	pages/Episodic Production.md:5; pages/Episodic Production.md:6; pages/Import (Data___Asset).md:11
back-light	Back Light	3	2	no	pages/Key (lighting).md:11; pages/Kick light.md:11; pages/Kick light.md:17
backdrop	Backdrop	3	3	no	pages/Cyclorama (Cyc).md:6; pages/Gradient.md:7; pages/Paramount lighting (butterfly lighting).md:13
bnc-connector	BNC Connector	3	2	no	pages/JVC (brand).md:11; pages/JVS connector.md:11; pages/JVS connector.md:17
camera-tracking	Camera Tracking	3	3	no	pages/Match move.md:9; pages/Overscan.md:6; pages/Parallax error (camera alignment).md:14
chroma-key-chroma-keying	Chroma Key (Chroma Keying)	3	2	no	pages/Garbage Matte.md:5; pages/Garbage Matte.md:7; pages/Green screen.md:7
cinematography	Cinematography	3	3	no	pages/Overtone montage.md:13; pages/Photographic grain.md:13; pages/Polarizer (lens filter).md:13
commercial-animation	Commercial Animation	3	3	no	pages/Ident (Broadcast ID Animation).md:10; pages/Key art (marketing imagery).md:12; pages/Kurtz & Friends (animation studio).md:11
concept-art	Concept Art	3	3	no	pages/Hatch Marks (Shading ___ Layout).md:7; pages/Key art (marketing imagery).md:17; pages/Quick sketch (concept art).md:7
copyright	Copyright	3	3	no	pages/Creative Commons.md:6; pages/EULA (End User License Agreement).md:6; pages/Usage rights (media law).md:18
crane-camera-support	Crane (Camera Support)	3	3	no	pages/Gantry (Camera Support).md:7; pages/Gimbal.md:11; pages/Grip (Crew).md:7
crew	Crew	3	3	no	pages/Below-the-Line.md:6; pages/Unit (production crew division).md:18; pages/Unit list (crew sheet).md:18
cucoloris-cookie	Cucoloris (Cookie)	3	1	no	pages/Gobo (Go-Between Object).md:5; pages/Gobo (Go-Between Object).md:9; pages/Gobo (Go-Between Object).md:16
depth-cues	Depth cues	3	3	no	pages/Aerial Perspective.md:6; pages/Linear perspective.md:11; pages/Negative space (composition).md:9
depth-of-field-dof	Depth of field (DOF)	3	2	no	pages/Near focus limit (DOF).md:3; pages/Near focus limit (DOF).md:9; pages/Objective lens (optics).md:7
diffusion	Diffusion	3	3	no	pages/Bounce Light.md:6; pages/Rag (lighting diffusion).md:7; pages/Reflector (lighting tool).md:7
dolly	Dolly	3	3	no	pages/Camera Move.md:6; pages/Pedestal (camera support move).md:6; pages/Piggyback rig (camera mounting).md:13
dope-sheets	Dope Sheets	3	3	no	pages/Directing Animator’s Notes.md:11; pages/In-Betweening (Tweening).md:7; pages/Jump frame.md:18
ease-in-ease-out	Ease In / Ease Out	3	3	no	pages/Clamp (Animation Curve).md:6; pages/Frame Blending.md:13; pages/Janky animation.md:8
edit	Edit	3	3	no	pages/Picture lock.md:13; pages/Uncut (editing term).md:18; pages/Uppercut (editing jump).md:18
expressionism	Expressionism	3	3	no	pages/Impressionism (Lighting___Design Influence).md:17; pages/Noir lighting (chiaroscuro).md:9; pages/Oblique angle (camera).md:9
exr-image-format	EXR (Image Format)	3	3	no	pages/JPEG (image format).md:11; pages/JPEG2000.md:11; pages/JPG compression artifact.md:9
fade	Fade	3	3	no	pages/Cross Dissolve.md:6; pages/Crossfade (Audio).md:6; pages/Dissolve.md:6
flange-focal-distance	Flange focal distance	3	3	no	pages/Back Focus.md:6; pages/Lens adapter.md:11; pages/Lens mount.md:12
focal-length-efl	Focal length (EFL)	3	3	no	pages/Narrow angle lens.md:9; pages/Nodal point (lens).md:9; pages/Normal lens (50mm equiv.).md:9
focus	Focus	3	3	no	pages/Back Focus.md:6; pages/Operator (camera role).md:6; pages/Rack focus.md:7
foreshortening	Foreshortening	3	3	no	pages/Neutral plane (perspective drawing).md:9; pages/Perspective (drawing___camera).md:13; pages/Perspective grid.md:13
gobo	Gobo	3	2	no	pages/Dapple Lighting.md:6; pages/Diffusion (Lighting).md:6; pages/Diffusion (Lighting).md:13
hdri	HDRI	3	3	no	pages/Dome Lighting.md:6; pages/Fisheye Lens.md:5; pages/Global Illumination (GI).md:7
hybrid-pipeline	Hybrid pipeline	3	3	no	pages/Atlas (Texture Atlas).md:6; pages/Bump Map.md:6; pages/Cel Animation.md:6
jpeg	JPEG	3	3	no	pages/JPEG2000.md:16; pages/Just noticeable difference (JND).md:9; pages/Output (render___export).md:6
look-up-table-lut	Look-Up Table (LUT)	3	3	no	pages/Color Grading.md:6; pages/Cross Processing (Effect).md:6; pages/Neutral look (color grade).md:9
masking	Masking	3	2	no	pages/Letterboxing.md:11; pages/Letterboxing.md:16; pages/Rotoscoping.md:7
medium-format-camera	Medium Format Camera	3	2	no	pages/Large format camera.md:11; pages/Large format camera.md:41; pages/Leaf shutter.md:11
medium-shot	Medium shot	3	3	no	pages/Bust Shot.md:6; pages/Head Room (Framing).md:7; pages/Partial model (miniature set).md:9
mood-lighting	Mood Lighting	3	3	no	pages/Impressionism (Lighting___Design Influence).md:11; pages/Noir lighting (chiaroscuro).md:9; pages/Oblique angle (camera).md:9
multiplane-camera	Multiplane camera	3	3	no	pages/Animation Stand.md:6; pages/Cel Animation.md:6; pages/Lightbox (animation).md:11
negative	Negative	3	3	no	pages/Internegative (Film Term, Historical).md:10; pages/Interpositive (Film Term, Historical).md:10; pages/Photographic emulsion.md:13
nodal-alignment	nodal alignment	3	3	no	pages/Operator (camera role).md:10; pages/Optical center (lens).md:5; pages/Orientation (camera alignment).md:5
on-ones	On Ones	3	3	no	pages/Frame Blending.md:7; pages/Frame rate.md:7; pages/Frame.md:7
optics	Optics	3	3	no	pages/Etalon (Optics).md:6; pages/Index of Refraction (IOR).md:10; pages/Refraction (lens effect).md:7
pan	Pan	3	3	no	pages/Camera Move.md:6; pages/Dolly Move.md:13; pages/Pedestal (camera support move).md:6
point-of-view-shot	Point-of-view shot	3	2	no	pages/Observation shot.md:7; pages/Observation shot.md:9; pages/Over-the-shoulder shot (OTS).md:14
practical-lighting	Practical lighting	3	3	no	pages/Neutral key (lighting setup).md:7; pages/Night-for-night (cinematography).md:9; pages/Quasar light (LED tube brand).md:7
production-planning	Production planning	3	3	no	pages/Pre-production.md:13; pages/Quarter-hour timing (production scheduling).md:13; pages/Scene breakdown.md:7
proxy	Proxy	3	2	no	pages/Editing Suite.md:5; pages/Editing Suite.md:6; pages/Encod­ing (Video Encoding).md:6
registration-marks	Registration Marks	3	2	no	pages/Jitter (camera___animation).md:11; pages/Jitter correction.md:7; pages/Jitter correction.md:11
safe-area	Safe Area	3	3	no	pages/Graticule (Viewfinder Marking).md:7; pages/Guide Frame (Layout Reference).md:7; pages/Underscan.md:18
saturation	Saturation	3	3	no	pages/Bypass (Bleach Bypass Effect).md:6; pages/Hue Shift (Color Manipulation).md:10; pages/Hue.md:10
scale-constraint	Scale (Constraint)	3	3	no	pages/Forced Perspective.md:7; pages/Full-Scale Puppet.md:7; pages/Gauge (Film Gauge ___ Scale Reference).md:9
scanning	Scanning	3	3	no	pages/Digitize.md:6; pages/DPI (Dots Per Inch).md:6; pages/Newton rings (scanning artifact).md:9
scheduling	Scheduling	3	3	no	pages/Availability.md:10; pages/Pre-production.md:13; pages/Quarter-hour timing (production scheduling).md:13
script	Script	3	3	no	pages/Narration.md:9; pages/Plug-in (software add-on).md:13; pages/Screenplay.md:7
set-dresser	Set Dresser	3	3	no	pages/House Puppet (Studio Asset).md:11; pages/Journeyman (union rank).md:11; pages/Jury rig (on-set fix).md:11
shading	Shading	3	3	no	pages/Hatch Marks (Shading ___ Layout).md:7; pages/Pong shading (Phong shading___typo%3F).md:14; pages/Screentone (graphic shading).md:7
shadow-pass	Shadow Pass	3	3	no	pages/Deep Shadow Map.md:6; pages/Drop Shadow.md:6; pages/Render pass.md:7
signal-to-noise-ratio	Signal-to-Noise Ratio	3	3	no	pages/Impedance (Audio ___ Electronics).md:10; pages/Noise floor (audio recording).md:9; pages/Nyquist frequency (sampling theory).md:9
special-effects	Special effects	3	3	no	pages/Practical effect.md:13; pages/Ultraviolet light (special effect).md:18; pages/Underwater filming.md:18
specular-reflection	Specular Reflection	3	2	no	pages/Diffuse Reflection.md:5; pages/Diffuse Reflection.md:6; pages/Highlight.md:10
stabilization	Stabilization	3	3	no	pages/Jitter (camera___animation).md:11; pages/Jitter correction.md:11; pages/Optical flow (post-production).md:6
stabilizer-camera	Stabilizer (Camera)	3	3	no	pages/Handheld Shot.md:12; pages/Hydraulic Rig (FX Support).md:11; pages/Hyperlapse.md:10
staging	Staging	3	3	no	pages/Blocking (Animation).md:10; pages/Board (Storyboards).md:6; pages/Business (Animation Action).md:6
stop-motion-camera-compendium	Stop-Motion Camera Compendium	3	3	no	pages/Eadweard Muybridge (Historical Reference).md:6; pages/Focus Distance.md:7; pages/Jargon (industry terms).md:11
stop-motion-photography	Stop-motion photography	3	3	no	pages/Photographic emulsion.md:13; pages/Polarizer (lens filter).md:13; pages/Quarter stop (exposure increment).md:13
stop-motion-puppet	Stop-Motion Puppet	3	3	no	pages/Marionette (puppet).md:9; pages/Quarter scale (miniature___maquette).md:13; pages/Quiver (character motion jitter).md:7
stop-motion-storytelling	Stop-motion storytelling	3	3	no	pages/Quotation (intertextual reference).md:7; pages/Rashomon effect (narrative device).md:7; pages/Reaction shot.md:7
studio-lighting	Studio lighting	3	3	no	pages/Q-beam (lighting term).md:13; pages/Quartz lamp (lighting).md:13; pages/Quasar light (LED tube brand).md:7
style	Style	3	3	no	pages/Aesthetic Distance.md:6; pages/Auteur Theory.md:6; pages/Convention (Genre Convention).md:6
surprise-gag	Surprise Gag	3	3	no	pages/Jack-in-the-box shot.md:11; pages/Jump scare.md:11; pages/Juxtapositional montage.md:11
test-shoot	Test Shoot	3	3	no	pages/Line test (animation).md:11; pages/Pilot (test episode___short).md:13; pages/Quick strike (short schedule project).md:7
tiff-image-format	TIFF (Image Format)	3	3	no	pages/JPEG (image format).md:11; pages/JPEG2000.md:11; pages/JPG compression artifact.md:9
vfx-integration	VFX Integration	3	3	no	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:18; pages/Orientation (camera alignment).md:6; pages/Picture lock.md:13
voiceover	Voiceover	3	3	no	pages/ADR (Automated Dialogue Replacement).md:6; pages/Lavalier mic.md:11; pages/Narration.md:9
wide-angle-lens	Wide angle lens	3	3	no	pages/Dictionary — W.md:22; pages/Narrow angle lens.md:7; pages/Normal lens (50mm equiv.).md:9
workprint	Workprint	3	3	no	pages/Lab roll (film processing).md:11; pages/Leader (film strip head___tail).md:11; pages/Linear editing.md:11
35mm-camera	35mm Camera	2	1	no	pages/Large format camera.md:11; pages/Large format camera.md:41
3d-animation	3D animation	2	2	no	pages/Orthographic view (animation___3D).md:5; pages/Parallax mapping (VFX___3D).md:5
3d-scanning	3D scanning	2	2	no	pages/Photogrammetry.md:13; pages/Resolution (3D scan).md:7
abstract-animation	Abstract animation	2	2	no	pages/Narrative disjunction (experimental animation).md:9; pages/Non-objective animation.md:9
angle-of-view	Angle of View	2	2	no	pages/Field of View (FOV).md:6; pages/Fisheye Lens.md:7
animation-cues	Animation cues	2	2	no	pages/Score (music for film).md:7; pages/Scratch track (temp audio).md:7
animation-cycle	Animation Cycle	2	2	no	pages/IVC (In-Vitro Capture, Puppet Testing).md:11; pages/Janky animation.md:11
animation-planning	Animation Planning	2	2	no	pages/Gesture Drawing.md:7; pages/Guide Puppet (Animation Planning).md:7
animation-refinement	Animation refinement	2	2	no	pages/Questionnaire (audience test screening).md:7; pages/Update pass (animation refinement).md:18
anticipation-animation-principle	Anticipation (Animation Principle)	2	2	no	pages/Follow-Through (Animation Principle).md:7; pages/Hold Pose.md:10
audio	Audio	2	2	no	pages/Audiovisual.md:6; pages/Oscilloscope (audio___video analysis).md:5
background	Background	2	2	no	pages/Key subject (composition).md:11; pages/Pattern (composition).md:6
banding-color-gradient-banding	Banding (Color/Gradient Banding)	2	2	no	pages/Jailbar effect.md:16; pages/JPG compression artifact.md:11
bird-s-eye-view	Bird’s-Eye View	2	2	no	pages/High Angle Shot.md:12; pages/Overhead shot.md:14
black-and-white	Black-and-White	2	2	no	pages/Grayscale.md:10; pages/Uncolorized (archival footage).md:18
budgeting	Budgeting	2	2	no	pages/Amortization.md:6; pages/Below-the-Line.md:6
call-sheet	Call Sheet	2	2	no	pages/Job sheet (production).md:11; pages/Knock-on effect (production delays).md:12
camera-lens	Camera & Lens	2	2	no	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:7; pages/Objective lens (optics).md:5
camera-movement	Camera movement	2	2	no	pages/Rack focus.md:7; pages/Rail dolly (camera move).md:7
camera-report	Camera Report	2	2	no	pages/Hook-Up Chart (Set Continuity).md:10; pages/Orientation (camera alignment).md:7
camera-settings	Camera settings	2	2	no	pages/Quarter stop (exposure increment).md:13; pages/Scene file (camera setting).md:7
cinemascope	Cinemascope	2	2	no	pages/Anamorphic Lens.md:6; pages/Aspect Ratio.md:6
clapboard	Clapboard	2	1	no	pages/Dual-System Sound.md:5; pages/Dual-System Sound.md:6
color-correction	Color Correction	2	2	no	pages/Kodak Wratten filters.md:11; pages/Saturation (color).md:7
color-science	Color science	2	2	no	pages/Metadata (EXIF___IPTC).md:9; pages/Metamerism (color science).md:7
color-theory	Color theory	2	2	no	pages/Additive Color.md:7; pages/Afterimage.md:6
composite-video	Composite Video	2	2	no	pages/JVC (brand).md:11; pages/JVS connector.md:11
compression	Compression	2	2	no	pages/Artifact.md:9; pages/Quicktime (media format).md:7
continuity-editing	Continuity Editing	2	2	no	pages/Knowledge cut (documentary editing).md:16; pages/Lap dissolve.md:11
crane	Crane	2	2	no	pages/Pedestal (camera support move).md:6; pages/Piggyback rig (camera mounting).md:13
crane-shot	Crane Shot	2	2	no	pages/Jib arm.md:11; pages/Jib shot.md:11
delivery-spec	Delivery spec	2	2	no	pages/Output (render___export).md:15; pages/Output gamma.md:13
demo-reel	Demo Reel	2	2	no	pages/House Puppet (Studio Asset).md:11; pages/Ident (Broadcast ID Animation).md:10
dialogue	Dialogue	2	2	no	pages/Exposure Sheet (X-Sheet, Dope Sheet).md:5; pages/Non-linear editing (NLE).md:11
digital-audio	Digital audio	2	2	no	pages/Quantization (digital audio).md:13; pages/Resolution (audio).md:7
digital-compositing	Digital Compositing	2	2	no	pages/Dictionary — D.md:18; pages/Overlay matte.md:6
digital-imaging	Digital imaging	2	2	no	pages/Nyquist frequency (sampling theory).md:6; pages/Pixel aspect ratio.md:13
director-s-cut	Director’s Cut	2	1	no	pages/Editor’s Cut.md:5; pages/Editor’s Cut.md:6
dropped-frames	Dropped Frames	2	1	no	pages/Lag (animation playback).md:11; pages/Lag (animation playback).md:17
experimental-film	Experimental film	2	2	no	pages/Narrative disjunction (experimental animation).md:9; pages/Non-objective animation.md:9
exr-openexr	EXR (OpenEXR)	2	2	no	pages/Format (Image Format).md:7; pages/Image Sequence.md:10
eye-line	Eye line	2	1	no	pages/Nose room (composition).md:6; pages/Nose room (composition).md:9
fabrication-tools	Fabrication Tools	2	2	no	pages/Heat Gun (Fabrication Tool).md:13; pages/Hollywood Flat (Set Construction).md:7
face-replacement	Face Replacement	2	2	no	pages/Head Replacement (Animation Technique).md:10; pages/Head Sculpt (Puppet Fabrication).md:8
file-format	File format	2	2	no	pages/Metadata (EXIF___IPTC).md:9; pages/Quantization error (image compression).md:13
file-management	File management	2	2	no	pages/Bin (Editing).md:6; pages/Upload (file transfer).md:18
film-camera	Film camera	2	2	no	pages/Animation Camera.md:6; pages/Hand Crank Camera.md:7
film-reel	Film reel	2	2	no	pages/Rewind (film or audio tape).md:7; pages/Upright (film editing bench).md:18
filters	Filters	2	1	no	pages/Etalon (Optics).md:5; pages/Etalon (Optics).md:6
flag	Flag	2	2	no	pages/Barn Doors.md:6; pages/Barndoors Spill Control.md:6
flicker-lighting	Flicker (Lighting)	2	2	no	pages/Hertz (Frequency).md:11; pages/HMI (Hydrargyrum Medium-Arc Iodide Light).md:10
foam-latex	Foam Latex	2	2	no	pages/Glass Fiber Reinforced Puppet.md:7; pages/Gore-Tex Puppet Joint (Fabrication Trick).md:7
focus-check	Focus Check	2	2	no	pages/Electronic Viewfinder (EVF).md:6; pages/Extreme Close-Up (ECU).md:6
focus-pulling	Focus pulling	2	2	no	pages/Autofocus.md:6; pages/Breathing (Lens Breathing).md:6
foreground	Foreground	2	2	no	pages/Key subject (composition).md:11; pages/Pattern (composition).md:6
frame-correction	Frame correction	2	2	no	pages/Pop (exposure or audio spike).md:13; pages/Quick take (fast pickup shot).md:7
frame-by-frame-consistency	Frame-by-frame consistency	2	2	no	pages/Registration (animation___film sprockets).md:7; pages/Registration pegs (2D___puppet animation).md:7
gate-check	Gate Check	2	2	no	pages/Film Gate (Camera Aperture).md:6; pages/J-gate (film camera).md:11
glass-shot	Glass Shot	2	2	no	pages/Matte painting.md:9; pages/Optical illusion (animation___VFX).md:11
grain	Grain	2	2	no	pages/Bypass (Bleach Bypass Effect).md:6; pages/Emulsion (Film Stock).md:6
graph-editor	Graph editor	2	2	no	pages/Bezier Curve.md:6; pages/Clamp (Animation Curve).md:6
hdr	HDR	2	2	no	pages/Bracketed Exposure.md:6; pages/Bulb Exposure.md:9
history-of-animation	History of Animation	2	2	no	pages/Eadweard Muybridge (Historical Reference).md:6; pages/Flip Book Animation.md:7
imax	IMAX	2	1	no	pages/Large format camera.md:11; pages/Large format camera.md:41
immersion	Immersion	2	2	no	pages/Aesthetic Distance.md:6; pages/Point of view shot (POV).md:13
iso-asa-film-speed	ISO/ASA (Film Speed)	2	2	no	pages/Gain (Signal___Exposure).md:7; pages/Grain (Film or Digital Noise).md:9
joint	Joint	2	2	no	pages/Articulation.md:6; pages/Ball-and-Socket Armature.md:6
lidar	LiDAR	2	2	no	pages/Laser scanning (VFX___photogrammetry).md:12; pages/Photogrammetry.md:13
light-flicker	Light Flicker	2	2	no	pages/Fluorescent Light.md:7; pages/Frame Averaging.md:7
lighting-control	Lighting control	2	2	no	pages/Barndoors Spill Control.md:6; pages/Matte box (lens accessory).md:9
lighting-diagrams	Lighting Diagrams	2	1	no	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:12; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:32
lighting-setup	Lighting Setup	2	2	no	pages/Lighting diagram.md:11; pages/Lighting stand.md:11
limn-pipeline	LIMN-PIPELINE	2	2	no	pages/Import (Data___Asset).md:7; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:40
live-action	live-action	2	2	no	pages/Operator (camera role).md:5; pages/Overset (overbuilt miniature).md:15
log-profile	Log Profile	2	2	no	pages/Knee (video gamma control).md:11; pages/Knee point (exposure curve).md:11
long-exposure	Long exposure	2	2	no	pages/Bulb Exposure.md:9; pages/Light painting (photographic technique).md:11
looping	Looping	2	2	no	pages/GIF Animation.md:7; pages/Optical illusion (animation___VFX).md:14
low-angle-shot	Low Angle Shot	2	2	no	pages/High Angle Shot.md:12; pages/Upshot (camera angle).md:18
lut-look-up-table	LUT (Look-Up Table)	2	2	no	pages/Gamma Correction.md:7; pages/Gamut Mapping.md:7
mastering	Mastering	2	2	no	pages/Broadcast Safe.md:6; pages/Digital Intermediate (DI).md:6
metadata	Metadata	2	2	no	pages/Burn-In (Image Burn or Overlay).md:6; pages/Import (Data___Asset).md:11
miniature-effects	Miniature effects	2	2	no	pages/Practical effect.md:13; pages/Random motion (animation principle).md:7
miniature-integration	Miniature integration	2	2	no	pages/Rear projection.md:7; pages/Rear screen (VFX).md:7
miniature-scale	Miniature scale	2	1	no	pages/Rack focus.md:5; pages/Rack focus.md:7
mitchell-camera	Mitchell camera	2	2	no	logseq/.recycle/pages_Rackover (lens alignment).md:7; pages/rackover.md:7
mixing-audio	Mixing (audio)	2	2	no	pages/Orchestration (sound design).md:7; pages/Overdub (audio post).md:14
moiré	Moiré	2	2	no	pages/Alias (Aliasing).md:6; pages/Anti-aliasing.md:6
monitor-studio-display	Monitor (Studio Display)	2	2	no	pages/JVC (brand).md:11; pages/JVC GY-HD100 (example camera).md:11
motion-graphics	Motion Graphics	2	2	no	pages/Kinetic typography.md:11; pages/Main title (sequence).md:9
nle	NLE	2	2	no	pages/Needle tool (editing ___ audio sync).md:6; pages/Nesting (timeline editing).md:5
noise	Noise	2	2	no	pages/Artifact.md:9; pages/Photographic grain.md:13
noise-floor	Noise floor	2	2	no	pages/Quiescent noise (low-level sound floor).md:7; pages/Readout noise (digital sensor).md:7
ntsc	NTSC	2	2	no	pages/ATSC Standard.md:6; pages/Broadcast Safe.md:6
on-set-audio	On-set audio	2	2	no	pages/Phantom power (microphones).md:12; pages/Radio mic.md:7
on-set-review	On-set review	2	2	no	pages/Playback monitor.md:13; pages/Quad split (monitoring).md:13
online-edit	Online edit	2	1	no	pages/Offline edit.md:6; pages/Offline edit.md:9
opening-credits	Opening Credits	2	2	no	pages/End Credits.md:6; pages/Main title (sequence).md:9
optical-compositing	Optical compositing	2	2	no	logseq/.recycle/pages_Rackover (lens alignment).md:7; pages/rackover.md:7
overlap	Overlap	2	1	no	pages/Drag (Animation Principle).md:5; pages/Drag (Animation Principle).md:6
overlap-animation-principle	Overlap (Animation Principle)	2	1	no	pages/Follow-Through (Animation Principle).md:7; pages/Follow-Through (Animation Principle).md:14
pan-tilt-head	Pan-Tilt Head	2	2	no	pages/Gimbal.md:11; pages/Horizontal Stabilizer (Camera Rig).md:10
panorama	Panorama	2	2	no	pages/Equirectangular Projection (360° Images).md:6; pages/Nodal slide (camera rig).md:7
pattern	Pattern	2	2	no	pages/Radial symmetry (design).md:7; pages/Repetition (design principle).md:7
pillarboxing	Pillarboxing	2	1	no	pages/Letterboxing.md:11; pages/Letterboxing.md:18
pivot	Pivot	2	2	no	pages/Anchor Point.md:6; pages/Center of Rotation.md:8
pose-to-pose-animation	Pose-to-Pose Animation	2	1	no	pages/End Motion (Final Pose).md:5; pages/End Motion (Final Pose).md:6
practical-light	Practical Light	2	2	no	pages/Fluorescent Light.md:7; pages/Overhang (set building).md:13
production-design	Production design	2	2	no	pages/Backlot Set.md:6; pages/Metaphor (film language).md:7
production-management	Production management	2	2	no	pages/Availability.md:10; pages/Below-the-Line.md:6
production-notes	Production notes	2	2	no	pages/Quote board (production tracking).md:7; pages/Script supervisor.md:7
prototype-fabrication	Prototype (Fabrication)	2	2	no	pages/Iteration (Creative Process).md:11; pages/IVC (In-Vitro Capture, Puppet Testing).md:11
puppet-placement	Puppet Placement	2	2	no	pages/Hot Set.md:7; pages/Riser (set construction).md:7
puppet-scale	Puppet scale	2	2	no	pages/Scale model.md:7; pages/Scale ruler (set building).md:7
puppetry	Puppetry	2	2	no	pages/Animism.md:6; pages/Kuroko (black-clad stagehand technique).md:11
ray-tracing	Ray Tracing	2	2	no	pages/Global Illumination (GI).md:7; pages/Photo-realism (CGI).md:13
rec-709	Rec.709	2	1	no	pages/NTSC (video standard).md:7; pages/NTSC (video standard).md:10
reference-footage	Reference Footage	2	2	no	pages/High-Speed Photography.md:10; pages/MoCap (motion capture).md:9
reflection-control	Reflection control	2	2	no	pages/Polarizer (lens filter).md:13; pages/Quench light (suppress reflection).md:7
reuse	Reuse	2	2	no	pages/Archive Footage.md:6; pages/Cycle (Animation Cycle).md:6
rhythm-animation	Rhythm (animation)	2	2	no	pages/Montage.md:9; pages/Non-objective animation.md:9
rig	Rig	2	2	no	pages/Anchor Point.md:6; pages/Riser (set construction).md:7
rigs	Rigs	2	2	no	pages/Out of frame.md:5; pages/Rig removal (VFX cleanup).md:7
room-tone	Room tone	2	2	no	pages/Buzz Track (Sound).md:6; pages/Resonance (sound).md:7
rough-cut	Rough cut	2	2	no	pages/Offline edit.md:9; pages/Uncut (editing term).md:18
safe-frame	Safe Frame	2	1	no	pages/Frame Line.md:5; pages/Frame Line.md:7
sample-rate	Sample rate	2	2	no	pages/Nyquist frequency (sampling theory).md:9; pages/Quantization (digital audio).md:13
sampling	Sampling	2	2	no	pages/Alias (Aliasing).md:6; pages/Anti-aliasing.md:6
scrim	Scrim	2	2	no	pages/Barn Doors.md:6; pages/Utility stand (lighting___grip).md:18
secondary-motion	Secondary motion	2	2	no	pages/Random motion (animation principle).md:7; pages/Recoil rig (FX gag).md:8
sensor-size	Sensor Size	2	2	no	pages/Image Plane.md:10; pages/Megapixel (digital camera resolution).md:9
series-bible	Series Bible	2	1	no	pages/Episodic Production.md:6; pages/Episodic Production.md:12
set-building	Set building	2	2	no	pages/On-location shooting.md:9; pages/Order of shots (storyboard).md:5
silent-film	Silent Film	2	2	no	pages/Intertitle (Silent Film Card).md:11; pages/Photoplay (early cinema term).md:13
silicone-skin	Silicone Skin	2	2	no	pages/Glass Fiber Reinforced Puppet.md:7; pages/Gore-Tex Puppet Joint (Fabrication Trick).md:7
soft-matte	Soft Matte	2	1	no	pages/Hard Matte.md:7; pages/Hard Matte.md:14
sound	Sound	2	2	no	pages/Frame rate.md:14; pages/Freeze Frame.md:5
specular-highlights	Specular highlights	2	2	no	pages/Raking light.md:7; pages/Reflection (visual element).md:7
stability	Stability	2	2	no	pages/Boil (Animation Boil).md:6; pages/Camera Shake.md:6
stage-platform	Stage Platform	2	2	no	pages/IBC (Intermediate Bulk Container, Set Use).md:10; pages/Insulation Foam (Set___Puppet Material).md:12
stage-rigging	Stage Rigging	2	2	no	pages/Four-Way Wedge (Set Building Tool).md:7; pages/Gaffer Tape.md:7
stagecraft	Stagecraft	2	2	no	pages/Hollywood Flat (Set Construction).md:7; pages/Quick change (costume___prop).md:13
stepper-motor	Stepper Motor	2	2	no	pages/Gear Ratio (Motion Control).md:7; pages/Hertz (Frequency).md:11
stop-motion-gag	Stop-motion gag	2	2	no	pages/Quicksand effect (practical FX gag).md:7; pages/Recoil rig (FX gag).md:8
stop-motion-planning	Stop-motion planning	2	2	no	pages/Previsualization (previs).md:13; pages/Quadrant (storyboard or screen division).md:13
storage	Storage	2	2	no	pages/Byte.md:6; pages/Memory card (media storage).md:9
story-structure	Story structure	2	2	no	pages/Narrative beat (story timing).md:9; pages/Obstacle (narrative device).md:6
studio-asset-management	Studio Asset Management	2	2	no	pages/House Puppet (Studio Asset).md:11; pages/IBC (Intermediate Bulk Container, Set Use).md:10
support-rig	Support Rig	2	2	no	pages/Lean-to rig (DIY support).md:11; pages/Nylon wire (puppet rigging).md:9
surface-texture	Surface Texture	2	2	no	pages/Diffuse Reflection.md:6; pages/Dry Brush (Texture Effect).md:6
surrealism	Surrealism	2	2	no	pages/Elastic Stop-Motion (Experimental Style).md:6; pages/Narrative disjunction (experimental animation).md:7
suspension-of-disbelief	Suspension of disbelief	2	2	no	pages/Aesthetic Distance.md:6; pages/Illusionism (Art ___ Cinema).md:11
sync	Sync	2	2	no	pages/Horizontal Hold (Video Sync).md:11; pages/Oscilloscope (audio___video analysis).md:6
sync-sound	Sync Sound	2	2	no	pages/Dual-System Sound.md:6; pages/Event Cue (Sound ___ Music).md:6
term	Term	2	1	no	pages/dictionary workflow overview.md:16; pages/dictionary workflow overview.md:43
thumbnail-sketch	Thumbnail sketch	2	2	no	pages/Outline drawing (storyboard).md:7; pages/Quick sketch (concept art).md:7
