candidate_id	candidate	classification	confidence	references	likely_structural	source_file_count	closest_existing_term	similarity	rationale	sample_locations
synchronization	Synchronization	NEW TERM	medium	5	no	5	Secondary action	0.58	Repeated in the graph and not close to an existing page.	pages/Genlock (Synchronization).md:7; pages/Marker (slate ___ editing mark).md:9; pages/Score (music for film).md:7; pages/Scratch track (temp audio).md:7; pages/Unison (sound___music sync).md:18
telecine	Telecine	NEW TERM	medium	5	no	5	Timeline	0.75	Repeated in the graph and not close to an existing page.	pages/Kinescope (TV recording).md:11; pages/Negative (film).md:9; pages/Newton rings (scanning artifact).md:9; pages/NTSC (video standard).md:10; pages/Numbering (frame count system).md:16
texture-mapping	Texture Mapping	NEW TERM	medium	5	no	5	Time remapping	0.76	Repeated in the graph and not close to an existing page.	pages/Gradient Map (Texture___Compositing).md:7; pages/Oblique lighting.md:6; pages/Photo-realism (CGI).md:13; pages/Photogrammetry.md:13; pages/Resolution (3D scan).md:7
visual-effects-vfx	Visual Effects (VFX)	NEW TERM	medium	5	no	5	Vanishing point	0.34	Repeated in the graph and not close to an existing page.	pages/CGI (Computer-Generated Imagery).md:6; pages/Double Exposure.md:6; pages/Dynamic Simulation.md:6; pages/Library shot (stock footage).md:11; pages/Match move.md:9
after-effects	After Effects	NEW TERM	medium	4	no	4	Afterimage	0.52	Repeated in the graph and not close to an existing page.	pages/JavaScript (in VFX tools).md:11; pages/Overlay (graphics___compositing).md:9; pages/Overlay matte.md:10; pages/Plug-in (software add-on).md:13
atmospheric-perspective	Atmospheric Perspective	NEW TERM	medium	4	no	4	Aerial Perspective	0.78	Repeated in the graph and not close to an existing page.	pages/Fog Machine.md:7; pages/Fog Pass (Depth___Atmosphere).md:7; pages/Gradient.md:7; pages/Landscape shot.md:11
c-stand	C-stand	NEW TERM	medium	4	no	4	Crossfade (Audio)	0.50	Repeated in the graph and not close to an existing page.	pages/Boom Arm.md:9; pages/Boom Microphone.md:9; pages/Lighting stand.md:11; pages/Utility stand (lighting___grip).md:18
calibration	Calibration	NEW TERM	medium	4	no	4	Cel Animation	0.67	Repeated in the graph and not close to an existing page.	pages/Back Focus.md:6; pages/Lens cap.md:11; pages/Lens test chart.md:12; pages/Metamerism (color science).md:9
camera-support	Camera Support	NEW TERM	medium	4	no	4	Camera Move	0.64	Repeated in the graph and not close to an existing page.	pages/Homemade Rig (DIY Support).md:9; pages/Manfrotto (tripod brand).md:9; pages/Pan bar (tripod control).md:3; pages/Rig (puppet___camera support).md:7
color-space	Color space	NEW TERM	medium	4	no	4	Color Balance	0.75	Repeated in the graph and not close to an existing page.	pages/ACEScg.md:12; pages/Gamut (Color Range).md:7; pages/Gamut Mapping.md:7; pages/Metadata (EXIF___IPTC).md:6
director	Director	NEW TERM	medium	4	no	3	Distortion (Lens)	0.56	Repeated in the graph and not close to an existing page.	pages/Auteur Theory.md:6; pages/Directing Animator.md:5; pages/Directing Animator.md:6; pages/Unit director.md:18
fabrication	Fabrication	NEW TERM	medium	4	no	4	Fast Motion (Undercranking)	0.55	Repeated in the graph and not close to an existing page.	pages/Brush Pass (Texture Painting).md:6; pages/Epoxy Putty (Puppet Fabrication).md:6; pages/Interference Pattern (Moire).md:11; pages/Lightbox (animation).md:11
facial-animation	Facial Animation	NEW TERM	medium	4	no	4	Flip Book Animation	0.69	Repeated in the graph and not close to an existing page.	pages/Expression Control (Rigging___CG).md:11; pages/Eye Blink (Animation Detail).md:6; pages/Lip sync (animation).md:11; pages/Uncanny valley (animation concept).md:18
film	Film	NEW TERM	medium	4	no	4	Foil (Reflector or Diffuser)	0.75	Repeated in the graph and not close to an existing page.	pages/Audiovisual.md:6; pages/Open matte.md:5; pages/Photographic emulsion.md:13; pages/Photographic grain.md:13
flicker	Flicker	NEW TERM	medium	4	no	4	Filter (Optical or Digital)	0.62	Repeated in the graph and not close to an existing page.	pages/Boil (Animation Boil).md:6; pages/Dimmer Board.md:6; pages/Operator (camera role).md:14; pages/Overrun (production delay).md:10
frame-capture	Frame capture	NEW TERM	medium	4	no	4	Frame Rate	0.78	Repeated in the graph and not close to an existing page.	pages/Animation Camera.md:6; pages/Animator.md:6; pages/Capture Card.md:6; pages/Raster (image grid).md:7
horizon-line	Horizon line	NEW TERM	medium	4	no	4	Horizontal Pan	0.69	Repeated in the graph and not close to an existing page.	pages/Neutral plane (perspective drawing).md:9; pages/Perspective (drawing___camera).md:13; pages/Perspective grid.md:13; pages/Vanishing point (perspective).md:18
layout	Layout	NEW TERM	medium	4	no	4	L-Mount (Leica/Panasonic Lens Mount)	0.62	Repeated in the graph and not close to an existing page.	pages/Guide Frame (Layout Reference).md:7; pages/Hatch Marks (Shading ___ Layout).md:7; pages/Light table (cel animation).md:11; pages/Lightbox (animation).md:11
low-key-lighting	Low-key lighting	NEW TERM	medium	4	no	4	Lighting Unit	0.55	Repeated in the graph and not close to an existing page.	pages/Negative fill (lighting control).md:9; pages/Night-for-night (cinematography).md:9; pages/Noir lighting (chiaroscuro).md:7; pages/Oblique lighting.md:7
playback-animation-review	Playback (Animation Review)	NEW TERM	medium	4	no	4	Pan bar (tripod control)	0.53	Repeated in the graph and not close to an existing page.	pages/Frame Grabber (Capture Device).md:7; pages/Frame Store.md:7; pages/Freeze Frame.md:7; pages/Genlock (Synchronization).md:7
prop	Prop	NEW TERM	medium	4	no	4	Pop (exposure or audio spike)	0.86	Repeated in the graph and not close to an existing page.	pages/Urethane foam (set___prop material).md:18; pages/Utility knife (prop___set tool).md:18; pages/Utility room (studio facility).md:18; pages/Vacuum forming (prop___puppet fabrication).md:19
raw	RAW	NEW TERM	medium	4	no	4	Rag (lighting diffusion)	0.67	Repeated in the graph and not close to an existing page.	pages/Bit Depth.md:6; pages/Bracketed Exposure.md:6; pages/Magic Lantern (Canon firmware add-on).md:10; pages/Negative (film).md:7
raw-format	RAW Format	NEW TERM	medium	4	no	4	Rack focus	0.50	Repeated in the graph and not close to an existing page.	pages/Dynamic Range.md:6; pages/Exposure Latitude.md:6; pages/Megapixel (digital camera resolution).md:9; pages/Memory card (media storage).md:9
scale	Scale	NEW TERM	medium	4	no	4	Slate	0.60	Repeated in the graph and not close to an existing page.	pages/Cast Shadow.md:6; pages/Noir lighting (chiaroscuro).md:16; pages/Perspective (drawing___camera).md:13; pages/Rack focus.md:5
stop-motion-aesthetics	Stop-Motion Aesthetics	NEW TERM	medium	4	no	4	Silhouette animation	0.38	Repeated in the graph and not close to an existing page.	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:27; pages/Quasi-realism (stylistic approach).md:7; pages/Radial symmetry (design).md:7; pages/Repetition (design principle).md:7
virtual-production	Virtual production	NEW TERM	medium	4	no	3	Vanishing point	0.36	Repeated in the graph and not close to an existing page.	pages/Dictionary — V.md:28; pages/Fisheye Lens.md:5; pages/Fisheye Lens.md:7; pages/Unity (game___animation engine).md:18
visual-storytelling	Visual storytelling	NEW TERM	medium	4	no	4	Vanishing point	0.35	Repeated in the graph and not close to an existing page.	pages/Dictionary — V.md:35; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:27; pages/Metaphor (film language).md:7; pages/Quotidian imagery (everyday objects in animation).md:7
walk-cycle	Walk Cycle	NEW TERM	medium	4	no	4		0.00	Repeated in the graph and not close to an existing page.	pages/Cycle (Animation Cycle).md:6; pages/Mexican loop (animation gag).md:7; pages/Panel (storyboard frame).md:10; pages/Quadruped animation (puppet walk cycles).md:7
waveform-monitor	Waveform monitor	NEW TERM	medium	4	no	3		0.00	Repeated in the graph and not close to an existing page.	pages/Dictionary — W.md:8; pages/Histogram.md:10; pages/Histogram.md:16; pages/Oscilloscope (audio___video analysis).md:15
wide-shot	Wide Shot	NEW TERM	medium	4	no	4		0.00	Repeated in the graph and not close to an existing page.	pages/Establishing Shot.md:6; pages/Extreme Long Shot (ELS).md:6; pages/Group Shot.md:7; pages/Observation shot.md:9
witness-camera	Witness camera	NEW TERM	medium	4	no	4		0.00	Repeated in the graph and not close to an existing page.	pages/Beam Splitter.md:6; pages/M-camera (multi-camera setup).md:11; pages/M___E bus (video switcher).md:10; pages/Machine vision (VFX ___ capture).md:12
180-degree-rule	180-degree rule	NEW TERM	medium	3	no	3		0.00	Repeated in the graph and not close to an existing page.	pages/Action Line.md:6; pages/Axis.md:10; pages/Camera Axis.md:6
alpha-channel	Alpha Channel	NEW TERM	medium	3	no	3	Animation Camera	0.41	Repeated in the graph and not close to an existing page.	pages/Layer (compositing).md:11; pages/Layer mask.md:12; pages/Opacity (compositing).md:7
animation-workflow	Animation workflow	NEW TERM	medium	3	no	3	Animation Camera	0.65	Repeated in the graph and not close to an existing page.	pages/Quill pen (animation inking).md:7; pages/Reboot (franchise___media).md:7; pages/Repetition (design principle).md:7
archival-footage	Archival Footage	NEW TERM	medium	3	no	3	Archive Footage	0.90	Repeated in the graph and not close to an existing page.	pages/Kinescope (TV recording).md:11; pages/Kodachrome.md:11; pages/Uncolorized (archival footage).md:18
asset-management	Asset Management	NEW TERM	medium	3	no	2	Arrangement Drawing	0.51	Repeated in the graph and not close to an existing page.	pages/Episodic Production.md:5; pages/Episodic Production.md:6; pages/Import (Data___Asset).md:11
backdrop	Backdrop	NEW TERM	medium	3	no	3	Back Focus	0.56	Repeated in the graph and not close to an existing page.	pages/Cyclorama (Cyc).md:6; pages/Gradient.md:7; pages/Paramount lighting (butterfly lighting).md:13
bnc-connector	BNC Connector	NEW TERM	medium	3	no	2	Back Projection	0.57	Repeated in the graph and not close to an existing page.	pages/JVC (brand).md:11; pages/JVS connector.md:11; pages/JVS connector.md:17
camera-tracking	Camera Tracking	NEW TERM	medium	3	no	3	Camera Shake	0.67	Repeated in the graph and not close to an existing page.	pages/Match move.md:9; pages/Overscan.md:6; pages/Parallax error (camera alignment).md:14
cinematography	Cinematography	NEW TERM	medium	3	no	3	Cel Animation	0.44	Repeated in the graph and not close to an existing page.	pages/Overtone montage.md:13; pages/Photographic grain.md:13; pages/Polarizer (lens filter).md:13
commercial-animation	Commercial Animation	NEW TERM	medium	3	no	3	Character Animation	0.67	Repeated in the graph and not close to an existing page.	pages/Ident (Broadcast ID Animation).md:10; pages/Key art (marketing imagery).md:12; pages/Kurtz & Friends (animation studio).md:11
concept-art	Concept Art	NEW TERM	medium	3	no	3	Contrast Ratio	0.56	Repeated in the graph and not close to an existing page.	pages/Hatch Marks (Shading ___ Layout).md:7; pages/Key art (marketing imagery).md:17; pages/Quick sketch (concept art).md:7
copyright	Copyright	NEW TERM	medium	3	no	3	Conforming (Edit Conform)	0.53	Repeated in the graph and not close to an existing page.	pages/Creative Commons.md:6; pages/EULA (End User License Agreement).md:6; pages/Usage rights (media law).md:18
crane-camera-support	Crane (Camera Support)	NEW TERM	medium	3	no	3	Coverage (Film Coverage)	0.62	Repeated in the graph and not close to an existing page.	pages/Gantry (Camera Support).md:7; pages/Gimbal.md:11; pages/Grip (Crew).md:7
crew	Crew	NEW TERM	medium	3	no	3	Cycle (Animation Cycle)	0.44	Repeated in the graph and not close to an existing page.	pages/Below-the-Line.md:6; pages/Unit (production crew division).md:18; pages/Unit list (crew sheet).md:18
cucoloris-cookie	Cucoloris (Cookie)	NEW TERM	medium	3	no	1	Color Timing	0.57	Repeated in the graph and not close to an existing page.	pages/Gobo (Go-Between Object).md:5; pages/Gobo (Go-Between Object).md:9; pages/Gobo (Go-Between Object).md:16
depth-cues	Depth cues	NEW TERM	medium	3	no	3	Depth Cueing	0.82	Repeated in the graph and not close to an existing page.	pages/Aerial Perspective.md:6; pages/Linear perspective.md:11; pages/Negative space (composition).md:9
dolly	Dolly	NEW TERM	medium	3	no	3	Dissolve	0.46	Repeated in the graph and not close to an existing page.	pages/Camera Move.md:6; pages/Pedestal (camera support move).md:6; pages/Piggyback rig (camera mounting).md:13
edit	Edit	NEW TERM	medium	3	no	3	Editing	0.73	Repeated in the graph and not close to an existing page.	pages/Picture lock.md:13; pages/Uncut (editing term).md:18; pages/Uppercut (editing jump).md:18
expressionism	Expressionism	NEW TERM	medium	3	no	3	Exposure Sheet (X-Sheet, Dope Sheet)	0.44	Repeated in the graph and not close to an existing page.	pages/Impressionism (Lighting___Design Influence).md:17; pages/Noir lighting (chiaroscuro).md:9; pages/Oblique angle (camera).md:9
exr-image-format	EXR (Image Format)	NEW TERM	medium	3	no	3	EG (Exposure Guide)	0.40	Repeated in the graph and not close to an existing page.	pages/JPEG (image format).md:11; pages/JPEG2000.md:11; pages/JPG compression artifact.md:9
fade	Fade	NEW TERM	medium	3	no	3	Frame	0.67	Repeated in the graph and not close to an existing page.	pages/Cross Dissolve.md:6; pages/Crossfade (Audio).md:6; pages/Dissolve.md:6
flange-focal-distance	Flange focal distance	NEW TERM	medium	3	no	3	Full-Scale Puppet	0.42	Repeated in the graph and not close to an existing page.	pages/Back Focus.md:6; pages/Lens adapter.md:11; pages/Lens mount.md:12
focal-length-efl	Focal length (EFL)	NEW TERM	medium	3	no	3	Fill Light	0.55	Repeated in the graph and not close to an existing page.	pages/Narrow angle lens.md:9; pages/Nodal point (lens).md:9; pages/Normal lens (50mm equiv.).md:9
focus	Focus	NEW TERM	medium	3	no	3	Fog Pass (Depth/Atmosphere)	0.46	Repeated in the graph and not close to an existing page.	pages/Back Focus.md:6; pages/Operator (camera role).md:6; pages/Rack focus.md:7
foreshortening	Foreshortening	NEW TERM	medium	3	no	3	Fluorescent Light	0.58	Repeated in the graph and not close to an existing page.	pages/Neutral plane (perspective drawing).md:9; pages/Perspective (drawing___camera).md:13; pages/Perspective grid.md:13
hybrid-pipeline	Hybrid pipeline	NEW TERM	medium	3	no	3	Hybrid Workflow (Practical + Digital)	0.53	Repeated in the graph and not close to an existing page.	pages/Atlas (Texture Atlas).md:6; pages/Bump Map.md:6; pages/Cel Animation.md:6
look-up-table-lut	Look-Up Table (LUT)	NEW TERM	medium	3	no	3	Light Table (Cel Animation)	0.58	Repeated in the graph and not close to an existing page.	pages/Color Grading.md:6; pages/Cross Processing (Effect).md:6; pages/Neutral look (color grade).md:9
medium-format-camera	Medium Format Camera	NEW TERM	medium	3	no	2	Mirrorless camera	0.59	Repeated in the graph and not close to an existing page.	pages/Large format camera.md:11; pages/Large format camera.md:41; pages/Leaf shutter.md:11
mood-lighting	Mood Lighting	NEW TERM	medium	3	no	3	Matte Painting	0.52	Repeated in the graph and not close to an existing page.	pages/Impressionism (Lighting___Design Influence).md:11; pages/Noir lighting (chiaroscuro).md:9; pages/Oblique angle (camera).md:9
multiplane-camera	Multiplane camera	NEW TERM	medium	3	no	3	Mirrorless camera	0.59	Repeated in the graph and not close to an existing page.	pages/Animation Stand.md:6; pages/Cel Animation.md:6; pages/Lightbox (animation).md:11
on-ones	On Ones	NEW TERM	medium	3	no	3	Ones (animating on 1s)	0.73	Repeated in the graph and not close to an existing page.	pages/Frame Blending.md:7; pages/Frame rate.md:7; pages/Frame.md:7
optics	Optics	NEW TERM	medium	3	no	3	Output (render/export)	0.50	Repeated in the graph and not close to an existing page.	pages/Etalon (Optics).md:6; pages/Index of Refraction (IOR).md:10; pages/Refraction (lens effect).md:7
practical-lighting	Practical lighting	NEW TERM	medium	3	no	3	Paramount lighting (butterfly lighting)	0.72	Repeated in the graph and not close to an existing page.	pages/Neutral key (lighting setup).md:7; pages/Night-for-night (cinematography).md:9; pages/Quasar light (LED tube brand).md:7
production-planning	Production planning	NEW TERM	medium	3	no	3	Post-production	0.59	Repeated in the graph and not close to an existing page.	pages/Pre-production.md:13; pages/Quarter-hour timing (production scheduling).md:13; pages/Scene breakdown.md:7
proxy	Proxy	NEW TERM	medium	3	no	2	Parody (narrative device)	0.73	Repeated in the graph and not close to an existing page.	pages/Editing Suite.md:5; pages/Editing Suite.md:6; pages/Encod­ing (Video Encoding).md:6
registration-marks	Registration Marks	NEW TERM	medium	3	no	2	Registration pegs (2D/puppet animation)	0.80	Repeated in the graph and not close to an existing page.	pages/Jitter (camera___animation).md:11; pages/Jitter correction.md:7; pages/Jitter correction.md:11
scale-constraint	Scale (Constraint)	NEW TERM	medium	3	no	3	Slate	0.60	Repeated in the graph and not close to an existing page.	pages/Forced Perspective.md:7; pages/Full-Scale Puppet.md:7; pages/Gauge (Film Gauge ___ Scale Reference).md:9
scanning	Scanning	NEW TERM	medium	3	no	3	Spacing	0.67	Repeated in the graph and not close to an existing page.	pages/Digitize.md:6; pages/DPI (Dots Per Inch).md:6; pages/Newton rings (scanning artifact).md:9
scheduling	Scheduling	NEW TERM	medium	3	no	3	Spacing	0.59	Repeated in the graph and not close to an existing page.	pages/Availability.md:10; pages/Pre-production.md:13; pages/Quarter-hour timing (production scheduling).md:13
script	Script	NEW TERM	medium	3	no	3	Scrim (fixture insert)	0.73	Repeated in the graph and not close to an existing page.	pages/Narration.md:9; pages/Plug-in (software add-on).md:13; pages/Screenplay.md:7
set-dresser	Set Dresser	NEW TERM	medium	3	no	3	Set dressing	0.78	Repeated in the graph and not close to an existing page.	pages/House Puppet (Studio Asset).md:11; pages/Journeyman (union rank).md:11; pages/Jury rig (on-set fix).md:11
shading	Shading	NEW TERM	medium	3	no	3	Spacing	0.71	Repeated in the graph and not close to an existing page.	pages/Hatch Marks (Shading ___ Layout).md:7; pages/Pong shading (Phong shading___typo%3F).md:14; pages/Screentone (graphic shading).md:7
shadow-pass	Shadow Pass	NEW TERM	medium	3	no	3	Shadow play	0.82	Repeated in the graph and not close to an existing page.	pages/Deep Shadow Map.md:6; pages/Drop Shadow.md:6; pages/Render pass.md:7
signal-to-noise-ratio	Signal-to-Noise Ratio	NEW TERM	medium	3	no	3	Silhouette animation	0.49	Repeated in the graph and not close to an existing page.	pages/Impedance (Audio ___ Electronics).md:10; pages/Noise floor (audio recording).md:9; pages/Nyquist frequency (sampling theory).md:9
special-effects	Special effects	NEW TERM	medium	3	no	3	Selective focus	0.47	Repeated in the graph and not close to an existing page.	pages/Practical effect.md:13; pages/Ultraviolet light (special effect).md:18; pages/Underwater filming.md:18
specular-reflection	Specular Reflection	NEW TERM	medium	3	no	2	Secondary action	0.63	Repeated in the graph and not close to an existing page.	pages/Diffuse Reflection.md:5; pages/Diffuse Reflection.md:6; pages/Highlight.md:10
stabilization	Stabilization	NEW TERM	medium	3	no	3	Saturation (color)	0.61	Repeated in the graph and not close to an existing page.	pages/Jitter (camera___animation).md:11; pages/Jitter correction.md:11; pages/Optical flow (post-production).md:6
stabilizer-camera	Stabilizer (Camera)	NEW TERM	medium	3	no	3	Set scale	0.53	Repeated in the graph and not close to an existing page.	pages/Handheld Shot.md:12; pages/Hydraulic Rig (FX Support).md:11; pages/Hyperlapse.md:10
staging	Staging	NEW TERM	medium	3	no	3	Spacing	0.71	Repeated in the graph and not close to an existing page.	pages/Blocking (Animation).md:10; pages/Board (Storyboards).md:6; pages/Business (Animation Action).md:6
stop-motion-camera-compendium	Stop-Motion Camera Compendium	NEW TERM	medium	3	no	3	Screen left / screen right	0.30	Repeated in the graph and not close to an existing page.	pages/Eadweard Muybridge (Historical Reference).md:6; pages/Focus Distance.md:7; pages/Jargon (industry terms).md:11
stop-motion-photography	Stop-motion photography	NEW TERM	medium	3	no	3	Silhouette animation	0.37	Repeated in the graph and not close to an existing page.	pages/Photographic emulsion.md:13; pages/Polarizer (lens filter).md:13; pages/Quarter stop (exposure increment).md:13
stop-motion-puppet	Stop-Motion Puppet	NEW TERM	medium	3	no	3	Silhouette animation	0.42	Repeated in the graph and not close to an existing page.	pages/Marionette (puppet).md:9; pages/Quarter scale (miniature___maquette).md:13; pages/Quiver (character motion jitter).md:7
stop-motion-storytelling	Stop-motion storytelling	NEW TERM	medium	3	no	3	Silhouette animation	0.36	Repeated in the graph and not close to an existing page.	pages/Quotation (intertextual reference).md:7; pages/Rashomon effect (narrative device).md:7; pages/Reaction shot.md:7
studio-lighting	Studio lighting	NEW TERM	medium	3	no	3	Set dressing	0.44	Repeated in the graph and not close to an existing page.	pages/Q-beam (lighting term).md:13; pages/Quartz lamp (lighting).md:13; pages/Quasar light (LED tube brand).md:7
style	Style	NEW TERM	medium	3	no	3	Slate	0.60	Repeated in the graph and not close to an existing page.	pages/Aesthetic Distance.md:6; pages/Auteur Theory.md:6; pages/Convention (Genre Convention).md:6
surprise-gag	Surprise Gag	NEW TERM	medium	3	no	3	Soundstage	0.45	Repeated in the graph and not close to an existing page.	pages/Jack-in-the-box shot.md:11; pages/Jump scare.md:11; pages/Juxtapositional montage.md:11
tiff-image-format	TIFF (Image Format)	NEW TERM	medium	3	no	3	Tilt	0.50	Repeated in the graph and not close to an existing page.	pages/JPEG (image format).md:11; pages/JPEG2000.md:11; pages/JPG compression artifact.md:9
vfx-integration	VFX Integration	NEW TERM	medium	3	no	3	Vacuum forming (prop___puppet fabrication)	0.34	Repeated in the graph and not close to an existing page.	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:18; pages/Orientation (camera alignment).md:6; pages/Picture lock.md:13
voiceover	Voiceover	NEW TERM	medium	3	no	3		0.00	Repeated in the graph and not close to an existing page.	pages/ADR (Automated Dialogue Replacement).md:6; pages/Lavalier mic.md:11; pages/Narration.md:9
wide-angle-lens	Wide angle lens	NEW TERM	medium	3	no	3		0.00	Repeated in the graph and not close to an existing page.	pages/Dictionary — W.md:22; pages/Narrow angle lens.md:7; pages/Normal lens (50mm equiv.).md:9
workprint	Workprint	NEW TERM	medium	3	no	3		0.00	Repeated in the graph and not close to an existing page.	pages/Lab roll (film processing).md:11; pages/Leader (film strip head___tail).md:11; pages/Linear editing.md:11
term	Term	NOT A TERM	high	2	no	1	Texture	0.55	Generic navigation or workflow label.	pages/dictionary workflow overview.md:16; pages/dictionary workflow overview.md:43
complete-film-dictionary	Complete Film Dictionary	NOT A TERM	high	1	no	1	Center of Rotation	0.52	Navigation, template, glossary, or overview label.	pages/References.md:8
glossary-dictionary	Glossary / Dictionary	NOT A TERM	high	1	no	1	Global Illumination (GI)	0.53	Navigation, template, glossary, or overview label.	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:23
related-term	Related Term	NOT A TERM	high	1	no	1	Render farm	0.52	Generic navigation or workflow label.	pages/dictionary workflow overview.md:18
35mm-camera	35mm Camera	REVIEW	low	2	no	1		0.00	Low-frequency unresolved label requiring editorial judgment.	pages/Large format camera.md:11; pages/Large format camera.md:41
3d-animation	3D animation	REVIEW	low	2	no	2		0.00	Low-frequency unresolved label requiring editorial judgment.	pages/Orthographic view (animation___3D).md:5; pages/Parallax mapping (VFX___3D).md:5
3d-scanning	3D scanning	REVIEW	low	2	no	2		0.00	Low-frequency unresolved label requiring editorial judgment.	pages/Photogrammetry.md:13; pages/Resolution (3D scan).md:7
abstract-animation	Abstract animation	REVIEW	low	2	no	2	Animation Stand	0.55	Low-frequency unresolved label requiring editorial judgment.	pages/Narrative disjunction (experimental animation).md:9; pages/Non-objective animation.md:9
angle-of-view	Angle of View	REVIEW	low	2	no	2	Anchor Point	0.40	Low-frequency unresolved label requiring editorial judgment.	pages/Field of View (FOV).md:6; pages/Fisheye Lens.md:7
animation-cues	Animation cues	REVIEW	low	2	no	2	Animation Camera	0.80	Low-frequency unresolved label requiring editorial judgment.	pages/Score (music for film).md:7; pages/Scratch track (temp audio).md:7
animation-cycle	Animation Cycle	REVIEW	low	2	no	2	Animation Camera	0.77	Low-frequency unresolved label requiring editorial judgment.	pages/IVC (In-Vitro Capture, Puppet Testing).md:11; pages/Janky animation.md:11
animation-planning	Animation Planning	REVIEW	low	2	no	2	Animation Stand	0.73	Low-frequency unresolved label requiring editorial judgment.	pages/Gesture Drawing.md:7; pages/Guide Puppet (Animation Planning).md:7
animation-refinement	Animation refinement	REVIEW	low	2	no	2	Animation Camera	0.67	Low-frequency unresolved label requiring editorial judgment.	pages/Questionnaire (audience test screening).md:7; pages/Update pass (animation refinement).md:18
audio	Audio	REVIEW	low	2	no	2	ADR	0.50	Low-frequency unresolved label requiring editorial judgment.	pages/Audiovisual.md:6; pages/Oscilloscope (audio___video analysis).md:5
background	Background	REVIEW	low	2	no	2	Back Focus	0.60	Low-frequency unresolved label requiring editorial judgment.	pages/Key subject (composition).md:11; pages/Pattern (composition).md:6
banding-color-gradient-banding	Banding (Color/Gradient Banding)	REVIEW	low	2	no	2	Breathing (Lens Breathing)	0.62	Low-frequency unresolved label requiring editorial judgment.	pages/Jailbar effect.md:16; pages/JPG compression artifact.md:11
bird-s-eye-view	Bird’s-Eye View	REVIEW	low	2	no	2	Behind the Scenes	0.44	Low-frequency unresolved label requiring editorial judgment.	pages/High Angle Shot.md:12; pages/Overhead shot.md:14
black-and-white	Black-and-White	REVIEW	low	2	no	2	Background Plate	0.58	Low-frequency unresolved label requiring editorial judgment.	pages/Grayscale.md:10; pages/Uncolorized (archival footage).md:18
budgeting	Budgeting	REVIEW	low	2	no	2	Breathing (Lens Breathing)	0.67	Low-frequency unresolved label requiring editorial judgment.	pages/Amortization.md:6; pages/Below-the-Line.md:6
call-sheet	Call Sheet	REVIEW	low	2	no	2	Closed Set	0.60	Low-frequency unresolved label requiring editorial judgment.	pages/Job sheet (production).md:11; pages/Knock-on effect (production delays).md:12
camera-lens	Camera & Lens	REVIEW	low	2	no	2	Camera Move	0.73	Low-frequency unresolved label requiring editorial judgment.	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:7; pages/Objective lens (optics).md:5
camera-movement	Camera movement	REVIEW	low	2	no	2	Camera Shake	0.59	Low-frequency unresolved label requiring editorial judgment.	pages/Rack focus.md:7; pages/Rail dolly (camera move).md:7
camera-report	Camera Report	REVIEW	low	2	no	2	Camera RAW	0.70	Low-frequency unresolved label requiring editorial judgment.	pages/Hook-Up Chart (Set Continuity).md:10; pages/Orientation (camera alignment).md:7
camera-settings	Camera settings	REVIEW	low	2	no	2	Camera Shake	0.67	Low-frequency unresolved label requiring editorial judgment.	pages/Quarter stop (exposure increment).md:13; pages/Scene file (camera setting).md:7
cinemascope	Cinemascope	REVIEW	low	2	no	2	Chiaroscuro	0.55	Low-frequency unresolved label requiring editorial judgment.	pages/Anamorphic Lens.md:6; pages/Aspect Ratio.md:6
clapboard	Clapboard	REVIEW	low	2	no	1	Capture Card	0.57	Low-frequency unresolved label requiring editorial judgment.	pages/Dual-System Sound.md:5; pages/Dual-System Sound.md:6
color-correction	Color Correction	REVIEW	low	2	no	2	Color Timing	0.64	Low-frequency unresolved label requiring editorial judgment.	pages/Kodak Wratten filters.md:11; pages/Saturation (color).md:7
color-science	Color science	REVIEW	low	2	no	2	Color Script	0.72	Low-frequency unresolved label requiring editorial judgment.	pages/Metadata (EXIF___IPTC).md:9; pages/Metamerism (color science).md:7
color-theory	Color theory	REVIEW	low	2	no	2	Color Model (RGB, CMYK, YUV)	0.61	Low-frequency unresolved label requiring editorial judgment.	pages/Additive Color.md:7; pages/Afterimage.md:6
composite-video	Composite Video	REVIEW	low	2	no	2	Crowd Simulation	0.45	Low-frequency unresolved label requiring editorial judgment.	pages/JVC (brand).md:11; pages/JVS connector.md:11
continuity-editing	Continuity Editing	REVIEW	low	2	no	2	Contrast Ratio	0.50	Low-frequency unresolved label requiring editorial judgment.	pages/Knowledge cut (documentary editing).md:16; pages/Lap dissolve.md:11
crane	Crane	REVIEW	low	2	no	2	Coverage (Film Coverage)	0.62	Low-frequency unresolved label requiring editorial judgment.	pages/Pedestal (camera support move).md:6; pages/Piggyback rig (camera mounting).md:13
crane-shot	Crane Shot	REVIEW	low	2	no	2	Cutaway Shot	0.64	Low-frequency unresolved label requiring editorial judgment.	pages/Jib arm.md:11; pages/Jib shot.md:11
delivery-spec	Delivery spec	REVIEW	low	2	no	2	Dictionary — S	0.48	Low-frequency unresolved label requiring editorial judgment.	pages/Output (render___export).md:15; pages/Output gamma.md:13
